datarate 		Distance 		Payload data	 	Nodes  		Net_throughput		Delay		NR
2		20		1472		2		6.6958 		820.143 		0
2		20		1472		3		4.46308 		2139.58 		0
2		20		1472		4		3.34685 		3004.66 		0
2		20		1472		5		2.67749 		3342.12 		0
2		20		1472		6		2.23083 		4116.83 		0
2		20		1472		7		1.91194 		23338.3 		0
2		20		1472		8		1.67278 		6587.27 		0
2		20		1472		9		1.48643 		8142.18 		0
2		20		1472		10		1.33749 		9147.58 		0

2		25		1472		2		6.6958 		1142.79 		0
2		25		1472		3		4.46301 		2155.73 		0
2		25		1472		4		3.34694 		3112.77 		0
2		25		1472		5		2.67721 		3443.02 		0
2		25		1472		6		2.23071 		4929.93 		0
2		25		1472		7		1.91186 		5696.07 		0
2		25		1472		8		1.67255 		7021.02 		0
2		25		1472		9		1.48672 		7805.84 		0
2		25		1472		10		1.33761 		60042 		0

2		30		1472		2		6.6958 		762.182 		0
2		30		1472		3		4.46308 		2579.89 		0
2		30		1472		4		3.34693 		3175.78 		0
2		30		1472		5		2.67726 		4222.02 		0
2		30		1472		6		2.23054 		4842.61 		0
2		30		1472		7		1.91176 		5936.94 		0
2		30		1472		8		1.67262 		22674.8 		0
2		30		1472		9		1.48676 		21716 		0
2		30		1472		10		1.33776 		34393.2 		0

2		35		1472		2		6.6958 		766.139 		0
2		35		1472		3		4.46263 		2284.25 		0
2		35		1472		4		3.34694 		3392.29 		0
2		35		1472		5		2.67728 		28840.2 		0
2		35		1472		6		2.23069 		4880.53 		0
2		35		1472		7		1.9118 		6140.18 		0
2		35		1472		8		1.67249 		22555 		0
2		35		1472		9		1.48676 		7515.58 		0
2		35		1472		10		1.32111 		107024 		0

2		40		1472		2		6.6958 		1021.78 		0
2		40		1472		3		4.46305 		2223.04 		0
2		40		1472		4		3.34693 		3282.98 		0
2		40		1472		5		2.67705 		79350.9 		0
2		40		1472		6		2.23082 		25831.8 		0
2		40		1472		7		1.91177 		5694.41 		0
2		40		1472		8		1.67259 		7130.12 		0
2		40		1472		9		1.48649 		7900.58 		0
2		40		1472		10		1.33761 		33814 		0

2		45		1472		2		6.6958 		1076.43 		0
2		45		1472		3		4.4631 		2712.18 		0
2		45		1472		4		3.34694 		3142.9 		0
2		45		1472		5		2.67726 		4124.44 		0
2		45		1472		6		2.23069 		5224.81 		0
2		45		1472		7		1.91166 		6084.31 		0
2		45		1472		8		1.67259 		7163.58 		0
2		45		1472		9		1.48591 		36770.5 		0
2		45		1472		10		1.33764 		9094.53 		0

2		50		1472		2		6.6958 		1143.45 		0
2		50		1472		3		4.46306 		2030.71 		0
2		50		1472		4		3.34692 		3181.09 		0
2		50		1472		5		2.67719 		29002.7 		0
2		50		1472		6		2.23065 		4761.06 		0
2		50		1472		7		1.91165 		5775.06 		0
2		50		1472		8		1.6726 		6806.36 		0
2		50		1472		9		1.48632 		22613.3 		0
2		50		1472		10		1.33737 		9285.25 		0

2		55		1472		2		6.6958 		1015.1 		0
